Rank,NCT_Number,Title,Recruitment,Study Results,Conditions,Interventions,Sponsor_Collaborators,Gender,Age Groups,Phases,Enrollment,Funded Bys,Study Types,Study Designs,Other IDs,First Received,Start Date,Completion Date,Last Updated,Last Verified,Results First Received,Acronym,Primary Completion Date,Outcome Measures,URL
34,NCT02750800,"Post-marketing Observational Study to Evaluate the Incremental Impact of AbbVie's Patient Support Program on Patient Reported Outcomes and Health Resource Utilization in Inflammatory Arthritis, Psoriasis and Inflammatory Bowel Diseases in Hungary",Recruiting,No Results Available,Rheumatoid Arthritis|Ankylosing Spondylitis|Psoriatic Arthritis|Psoriasis|Crohn's Disease|Ulcerative Colitis,,AbbVie|AdWare Research Kft.,Both,Adult|Senior,,387,Industry|Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,P15-673,"April 13, 2016",Apr-16,Oct-17,"April 21, 2016",Apr-16,No Study Results Posted,VALUE,Oct-17,"Change from baseline (month 0) in 36-Item Short Form Health Survey, Version 2.0 (SF-36 V2) Physical Component Score (PCS)|Change from baseline (month 0) in EuroQol five-dimension scale (EQ-5D-5L) quality of life score|Change from baseline (month 0) in total Treatment Satisfaction Questionnaire for Medication (TSQM)-1.4 score|Change from baseline (month 0) in total Satisfaction with Information About Medicines Scale (SIMS) score|Change from baseline (month 0) in total Morisky Medication Adherence Scale, 4 questions (MMAS-4) score|Changes from baseline (month 0) in Work Productivity and Activity Impairment (WPAI) Specific Health Problem (SHP) score",https://ClinicalTrials.gov/show/NCT02750800
35,NCT02750774,An Early-customized Low Glycaemic-index (GI) Diet Prevents LGA Babies in Overweight/Obese Pregnant Women,Recruiting,No Results Available,"Maternal Obesity Complicating Pregnancy, Birth,or Puerperium|Gestational Diabetes Mellitus|Birthweight|Large for Gestational Age (LGA)|Caloric Restriction|Lifestyle Intervention",Behavioral: Low-glycemic index group|Other: Standard Care Group,University of Modena and Reggio Emilia|Dr. Elisabetta Petrella,Female,Adult,,100,Other,Interventional,Allocation: Randomized|Endpoint Classification: Safety Study|Intervention Model: Parallel Assignment|Primary Purpose: Prevention|Masking: Open Label,Pratica CE 136/15,"April 14, 2016",Dec-15,Dec-16,"April 20, 2016",Apr-16,No Study Results Posted,null,Jul-16,Large-for-gestational-age (LGA) occurrence|Gestational Diabetes Mellitus (GDM) occurrence|Gestational Weight Gain (GWG)|Pre-term Birth (PTB)|Neonatal hypoglycemia|Neonatal Intensive Care Unit (NICU) admission,https://ClinicalTrials.gov/show/NCT02750774
36,NCT02750657,Study of Changes and Characteristics of Genes in Patients With Pancreatic Cancer for Better Treatment Selection,Recruiting,No Results Available,"Carcinoma, Pancreatic Ductal",Genetic: Molecular Profiling,"University Health Network, Toronto",Both,Adult|Senior,,180,Other,Observational,Observational Model: Cohort|Time Perspective: Prospective,COMPASS-001,"January 19, 2016",Feb-16,Dec-21,"April 20, 2016",Apr-16,No Study Results Posted,COMPASS,Feb-21,"The feasibility of prospectively identifying subgroups of patients with advanced PDAC who have distinct genomic characteristics for better treatment selection while undergoing 1st-line chemotherapy using next generation sequencing.|Disease control rate achieved by m-FOLFIRINOX|Disease control rate achieved by nab-paclitaxel|Duration of response defined as the interval between the first date of complete response or partial response and the earliest date of disease progression or death due to any cause to m-FOLFIRINOX|Duration of response defined as the interval between the first date of complete response or partial response and the earliest date of disease progression or death due to any cause to nab-paclitaxel.|Progression free survival defined as the interval between the date of registration and the earliest date of disease progression or death due to any cause of patients treated with m-FOLFIRINOX.|Progression free survival defined as the interval between the date of registration and the earliest date of disease progression or death due to any cause of patients treated with nab-paclitaxel.|Overall survival defined as the interval between the date of registration and the date of death of patients treated with m-FOLFIRINOX|Overall survival defined as the interval between the date of registration and the date of death of patients treated with nab-paclitaxel.|Correlation between tumor genomic characteristics and m-FOLFIRINOX response using next generation sequencing.|Correlation between tumor genomic characteristics and nab-paclitaxel response using the next generation sequencing.|Percentage of patients with germline BRCA, PALB2 and ATM mutations who might benefit from a personalized treatment strategy such as combination of cisplatin and a PARP inhibition.|Percentage of patients with somatic DSBR deficiency who might benefit from a personalized treatment strategy such as combination of cisplatin and a PARP inhibitor.|Percentage of patients who might benefit from immunotherapy (patients with smoking genomic signatures, patients with a hypermutated phenotype, patients with mismatch repair deficiency and patients with tumor neo-antigen expression).|Percentage of patients with rare but targetable somatic mutations.|Difference in disease control rate between patients with tumor smoking signature and those without.|Difference in overall survival between patients with tumor smoking signature and those without.|Correlation with tumor molecular characteristics and toxicities to treatment using next generation sequencing.",https://ClinicalTrials.gov/show/NCT02750657
37,NCT02750631,"Out-patient Wake Therapy, Light Therapy and Sleep Phase Advance for Depression",Recruiting,No Results Available,Unipolar Depression,Device: Triple Therapy,New York State Psychiatric Institute,Both,Adult,Phase 2,30,Other,Interventional,Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,6938,"April 20, 2016",Apr-14,Jul-17,"April 22, 2016",Apr-16,No Study Results Posted,WakeTherapy,Feb-17,17-item Hamilton Rating Scale for Depression,https://ClinicalTrials.gov/show/NCT02750631
38,NCT02750605,DEB ( Drug Eluting Balloon) in Crural Arteries and Critical Limb Ischemia,Recruiting,No Results Available,Peripheral Vascular Diseases,Device: DEB|Device: POBA,Skane University Hospital,Both,Adult|Senior,,70,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,TF3,"January 19, 2016",Feb-16,Jun-18,"April 22, 2016",Apr-16,No Study Results Posted,null,Jun-18,Primary patency of treated crural vessels|Clinical driven target lesion revascularization (TLR),https://ClinicalTrials.gov/show/NCT02750605
39,NCT02750592,Study of Efficacy and Safety of Secukinumab in Japanese Patients With Active Ankylosing Spondylitis,Recruiting,No Results Available,Ankylosing Spondylitis,Drug: secukinumab 150mg,Novartis Pharmaceuticals|Novartis,Both,Adult|Senior,Phase 3,30,Industry,Interventional,Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Primary Purpose: Treatment|Masking: Open Label,CAIN457H1301,"April 4, 2016",Mar-16,May-18,"April 20, 2016",Apr-16,No Study Results Posted,null,May-18,"Assessment of SpondyloArthritis International Society criteria (ASAS) 20 response|ASAS 40 response|Bath Ankylosing Spondylitis Disease Activity (BASDAI) 50|high sensitivity C-Reactive Protein (hsCRP)|ASAS 5/6 response criteria|BASDAI|Short Form Health Survey Physical Component Summary ( SF-36 PCS)|Ankylosing Spondylitis Quality of Life (ASQoL)|ASAS partial remission|Serum concentration of secukinumab|Concentration of anti-secukinumab antibodies|Vital sign, clinical laboratory values and adverse event",https://ClinicalTrials.gov/show/NCT02750592
40,NCT02750579,Early or Delayed Revascularization for Intermediate and High-risk Non ST-elevation Acute Coronary Syndromes?,Recruiting,No Results Available,Acute Coronary Syndrome,Procedure: Percutaneous coronary intervention for revascularization,Assistance Publique Hopitaux De Marseille,Both,Adult|Senior,,740,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,2016-A00379-42,"April 21, 2016",Apr-16,Oct-19,"April 21, 2016",Apr-16,No Study Results Posted,null,Apr-19,recurent ischemic events|cardiovascular death,https://ClinicalTrials.gov/show/NCT02750579
41,NCT02750566,Comparing the Effect of Osteopathic Manipulative Medicine (OMM) Versus Counseling in the Treatment of Concussion,Recruiting,No Results Available,Post-Concussion Symptoms|Distorted; Balance,Procedure: Osteopathic Manipulative Treatment|Other: Counseling,New York Institute of Technology,Both,Adult,,20,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Single Blind (Outcomes Assessor),BHS-1139,"December 4, 2015",Nov-15,Dec-17,"April 20, 2016",Apr-16,No Study Results Posted,null,Dec-17,SMART Balance Master balance scores pre and post intervention arm|Post-concussion symptoms as measured by ImPACT|Post-concussion symptoms as measured by King-Devick|Post-concussion symptoms as measured by SCAT-3,https://ClinicalTrials.gov/show/NCT02750566
42,NCT02750436,A Comparison of Ultrasound Versus Fluoroscopic Guidance for Sacral Lateral Branch Blocks,Recruiting,No Results Available,Back Pain,Device: Ultrasound guided|Device: Fluoroscopy guided,Montreal General Hospital,Both,Adult|Senior,,40,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,15-544MUHC,"April 17, 2016",Apr-16,Dec-16,"April 22, 2016",Apr-16,No Study Results Posted,USGSLBB,Dec-16,Performance time|Change in pain numerical rating score from baseline,https://ClinicalTrials.gov/show/NCT02750436
43,NCT02750423,Neurologic Injury Following Aortic Arch Replacement,Recruiting,No Results Available,Aortic Arch Replacement|Hemi Arch Replacement,Procedure: DHCA+RCP|Procedure: MHCA + SACP,Emory University,Both,Adult|Senior,Phase 1,20,Other,Interventional,Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Open Label,IRB00087270,"April 21, 2016",Apr-16,Dec-18,"April 21, 2016",Apr-16,No Study Results Posted,null,Jun-17,Incidence of Stroke|Incidence of Transient Ischemic Attack (TIA)|Rate of Neurologic Injury assessed by Magnetic Resonance Imaging (MRI)|Change in Verbal Memory Test Score|Change in Visual Memory Test Score|Change in Finger Tapping Test Score|Change in Symbol Digit Coding Score|Change in Stroop Test Score|Change in Shifting Attention Test Score|Change in Continuous Performance Test Score|Incidence of Temporary Neurologic Deficit (TND)|Change in Serum S-100 Levels,https://ClinicalTrials.gov/show/NCT02750423
44,NCT02750319,Amiodarone and N-Acetylcysteine or Amiodarone Alone for Preventing Atrial Fibrillation After Thoracic Surgery,Recruiting,No Results Available,Thoracic Surgery|Atrial Fibrillation in High Risk Patients,Drug: Amiodarone|Drug: N-Acetylcysteine|Drug: Placebo,Memorial Sloan Kettering Cancer Center|Washington University School of Medicine|The Cleveland Clinic|Vanderbilt University School of Medicine,Both,Adult|Senior,Phase 3,244,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Investigator)",16-307,"April 21, 2016",Apr-16,null,"April 22, 2016",Apr-16,No Study Results Posted,null,Apr-18,rate of sustained (lasting >30 seconds) or clinically significant post-operative atrial fibrillation (POAF),https://ClinicalTrials.gov/show/NCT02750319
45,NCT02750293,The Effect of Vitamin D Supplementation on Cardiovascular Risk Factors,Recruiting,No Results Available,Vitamin D Deficiency,Drug: Cholecalciferol|Drug: Placebo,University of Tromso,Both,Adult|Senior,Phase 3,600,Other,Interventional,"Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Primary Purpose: Treatment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)",TromsÌüEndo-2013-1|2013-003514-40,"April 12, 2016",Jun-15,Sep-17,"April 20, 2016",Apr-16,No Study Results Posted,D-COR,Aug-17,"Change from baseline in systolic and diastolic blood pressure|Change from baseline in hand-grip, quadriceps and biceps muscle strength measured by hand held dynamometry .|Change from baseline in score on Becks Depression Inventory|Change from baseline in cognitive function evaluated with The Twelve Word Memory Test|Change from baseline in cognitive function evaluated with The Digit Symbol Coding Test|Change from baseline in cognitive function evaluated with The Tapping Test|Change from baseline in arterial stiffness and endothelial function evaluated with pulse wave velocity|Change from baseline in arterial stiffness and endothelial function evaluated with augmentation index (AIX)|Change from baseline in arterial stiffness and endothelial function evaluated with the subendocardial viability ratio (SEVR)|Change from baseline in number of subjects with nasal staphylococcus aureus colonization|Change from baseline in bone mass density measured with dual energy x-ray absorptiometry (DEXA) at the lumbar spine and hip|Change from baseline in the bone turnover marker serum type 1 procollagen (P1NP)|Change from baseline in the bone turnover marker serum collagen type 1 cross-linked C-telopeptide (CTX-1)|Change from baseline in serum marker of interferon-ë_ mediated macrophage activation|Change from baseline in serum vitamin B6 status.|Change from baseline in the glycosylation marker HbA1c|Change from baseline in the glycosylation marker the receptor for advanced glycosylation end products (s-RAGE)|Change from baseline in the glycosylation marker carboxy-methyllysine|Change from baseline in psoriasis Activity in subjects with psoriasis evaluated with the Self-Administered Psoriasis Area Severity Index (SAPASI)|Change from baseline in psoriasis Activity in subjects with psoriasis, evaluated with the Dermatological Life Quality Index (DLQI)|Change from baseline in psoriasis Activity in subjects with psoriasis, evaluated with the Psoriasis Area Severity Index (PASI)|Change from baseline in transcriptomic profile (mRNA) in adipose tissue biopsies|Change from baseline in number of subjects with nocturnal legg cramps|Change from baseline in sleep pattern evaluated with the TromsÌü Study 7th Survey sleep pattern questionnaire|Change from baseline in the serum total cholesterol|Change from baseline in the serum HDL-cholesterol|Change from baseline in the serum LDL-cholesterol|Change from baseline in the serum triglycerides|Change from baseline in the serum Apolipoprotein A1|Change from baseline in the serum Apolipoprotein B,|Change from baseline in insulin resistance evaluated with the homeostasis model assessment (HOMA) index based on fasting serum glucose and serum insulin|Change from baseline in proteomic profile with relative quantification in adipose tissue biopsies with the use of Liquid chromatography mass spectrometry Technology (LC-MS/MS)|Change from baseline in metabolomic profile with relative quantification in adipose tissue biopsies with the use of Liquid chromatography mass spectrometry Technology (LC-MS/MS)",https://ClinicalTrials.gov/show/NCT02750293
